Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
pse_R941.110.fq.seed5.ngs	1	1	1	1	1	1	6384031	6384031	6384031	6384031	6384031	6384031	1	6384031	6384031	6410639	66.40	66.40	6384031	6384031	6384031	6384031	6384031.0	6357533.4	1	1	1	1	1	1	6384031	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.66	6384031	6384031	6384031	6384031	6384031	6384031	6384031.0	6357533.4	1	1	1	1
pse_R941.110.fq.seed5.ont	4	4	4	3	1	1	6422374	6422374	6422374	6415300	6383618	6383618	4	6383618	6422374	6410639	66.23	66.40	6383618	6383618	6383618	6383618	6345182.8	6356798.0	1	1	1	1	1	1	6383618	0	0	0	0	3 + 0 part	38756	99.587	1.000	0.00	0.66	7.88	6383618	6383618	6383618	6383618	6383618	6383618	6345095.9	6356710.9	1	1	1	1
pse_R941.120.fq.seed1.ngs	1	1	1	1	1	1	6384171	6384171	6384171	6384171	6384171	6384171	1	6384171	6384171	6410639	66.40	66.40	6384171	6384171	6384171	6384171	6384171.0	6357812.3	1	1	1	1	1	1	6384171	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.05	0.47	6384171	6384171	6384171	6384171	6384171	6384171	6384171.0	6357812.3	1	1	1	1
pse_R941.120.fq.seed1.ont	4	4	4	3	2	1	6431334	6431334	6431334	6424267	6410201	6383630	4	6383630	6431334	6410639	66.18	66.40	6383630	6383630	6383630	6383630	6336428.1	6356883.6	1	1	1	1	1	1	6383630	0	0	0	0	3 + 0 part	47704	99.587	1.000	0.00	0.69	7.74	6383630	6383630	6383630	6383630	6383630	6383630	6336279.8	6356734.8	1	1	1	1
pse_R941.120.fq.seed2.ngs	1	1	1	1	1	1	6384181	6384181	6384181	6384181	6384181	6384181	1	6384181	6384181	6410639	66.40	66.40	6384181	6384181	6384181	6384181	6384181.0	6357832.2	1	1	1	1	1	1	6384181	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.42	6384180	6384180	6384180	6384180	6384180	6384180	6384179.0	6357830.2	1	1	1	1
pse_R941.120.fq.seed2.ont	5	5	5	3	3	1	6464699	6464699	6464699	6450543	6450543	6383618	5	6383618	6464699	6410639	66.14	66.40	6383618	6383618	6383618	6383618	6303930.7	6357090.9	1	1	1	1	1	1	6383618	0	0	0	0	4 + 0 part	81081	99.587	1.000	0.00	0.49	8.15	6383617	6383617	6383617	6383617	6383617	6383617	6303552.0	6356708.9	1	1	1	1
pse_R941.120.fq.seed3.ngs	1	1	1	1	1	1	6384195	6384195	6384195	6384195	6384195	6384195	1	6384195	6384195	6410639	66.40	66.40	6384195	6384195	6384195	6384195	6384195.0	6357860.1	1	1	1	1	1	1	6384195	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.52	6384195	6384195	6384195	6384195	6384195	6384195	6384195.0	6357860.1	1	1	1	1
pse_R941.120.fq.seed3.ont	3	3	3	3	2	1	6433966	6433966	6433966	6433966	6410208	6383651	3	6383651	6433966	6410639	66.20	66.40	6383651	6383651	6383651	6383651	6333926.8	6356974.7	1	1	1	1	1	1	6383651	0	0	0	0	2 + 0 part	50315	99.587	1.000	0.00	0.47	7.72	6383651	6383651	6383651	6383651	6383651	6383651	6333729.5	6356776.6	1	1	1	1
pse_R941.120.fq.seed4.ngs	1	1	1	1	1	1	6384194	6384194	6384194	6384194	6384194	6384194	1	6384194	6384194	6410639	66.40	66.40	6384194	6384194	6384194	6384194	6384194.0	6357858.1	1	1	1	1	1	1	6384194	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.55	6384194	6384194	6384194	6384194	6384194	6384194	6384194.0	6357858.1	1	1	1	1
pse_R941.120.fq.seed4.ont	4	4	4	3	2	1	6440975	6440975	6440975	6433907	6410191	6383628	4	6383628	6440975	6410639	66.14	66.40	6383628	6383628	6383628	6383628	6326996.2	6356936.4	1	1	1	1	1	1	6383628	0	0	0	0	3 + 0 part	57347	99.587	1.000	0.00	0.58	8.10	6383628	6383628	6383628	6383628	6383628	6383628	6326791.6	6356730.8	1	1	1	1
pse_R941.120.fq.seed5.ngs	1	1	1	1	1	1	6384179	6384179	6384179	6384179	6384179	6384179	1	6384179	6384179	6410639	66.40	66.40	6384179	6384179	6384179	6384179	6384179.0	6357828.2	1	1	1	1	1	1	6384179	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.58	6384179	6384179	6384179	6384179	6384179	6384179	6384179.0	6357828.2	1	1	1	1
pse_R941.120.fq.seed5.ont	2	2	2	1	1	1	6390688	6390688	6390688	6383614	6383614	6383614	2	6383614	6390688	6410639	66.36	66.40	6383614	6383614	6383614	6383614	6376555.7	6356710.7	1	1	1	1	1	1	6383614	0	0	0	0	1 + 0 part	7074	99.587	1.000	0.00	0.64	8.00	6383614	6383614	6383614	6383614	6383614	6383614	6376547.8	6356702.9	1	1	1	1
pse_R941.20.fq.seed1.ngs	1	1	1	1	1	1	6384188	6384188	6384188	6384188	6384188	6384188	1	6384188	6384188	6410639	66.40	66.40	6384188	6384188	6384188	6384188	6384188.0	6357846.1	1	1	1	1	1	1	6384188	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.66	6384188	6384188	6384188	6384188	6384188	6384188	6384188.0	6357846.1	1	1	1	1
pse_R941.20.fq.seed1.ont	1	1	1	1	1	1	6383408	6383408	6383408	6383408	6383408	6383408	1	6383408	6383408	6410639	66.40	66.40	6383408	6383408	6383408	6383408	6383408.0	6356292.7	1	1	1	1	1	1	6383408	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	3.67	12.05	6383404	6383404	6383404	6383404	6383404	6383404	6383400.0	6356284.7	1	1	1	1
pse_R941.20.fq.seed2.ngs	1	1	1	1	1	1	6384172	6384172	6384172	6384172	6384172	6384172	1	6384172	6384172	6410639	66.40	66.40	6384172	6384172	6384172	6384172	6384172.0	6357814.3	1	1	1	1	1	1	6384172	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.52	6384172	6384172	6384172	6384172	6384172	6384172	6384172.0	6357814.3	1	1	1	1
pse_R941.20.fq.seed2.ont	1	1	1	1	1	1	6383364	6383364	6383364	6383364	6383364	6383364	1	6383364	6383364	6410639	66.40	66.40	6383364	6383364	6383364	6383364	6383364.0	6356205.0	1	1	1	1	1	1	6383364	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	3.59	12.83	6383364	6383364	6383364	6383364	6383364	6383364	6383364.0	6356205.0	1	1	1	1
pse_R941.20.fq.seed3.ngs	1	1	1	1	1	1	6383970	6383970	6383970	6383970	6383970	6383970	1	6383970	6383970	6410639	66.40	66.40	6383970	6383970	6383970	6383970	6383970.0	6357411.9	1	1	1	1	1	1	6383970	1	0	0	0	0 + 0 part	0	99.583	1.000	0.00	0.02	0.60	6383970	6383970	6383970	6383970	6383970	6383970	6383970.0	6357411.9	1	1	1	1
